movie,year,genres,runtime_minutes,averagerating,numvotes,studio,domestic_gross,foreign_gross
Wazir,2016,"['Action', 'Crime', 'Drama']",103.0,7.1,15378,Relbig.,1100000.0,0.0
On the Road,2012,"['Adventure', 'Drama', 'Romance']",124.0,6.1,37886,IFC,744000.0,8000000.0
The Secret Life of Walter Mitty,2013,"['Adventure', 'Comedy', 'Drama']",114.0,7.3,275300,Fox,58200000.0,129900000.0
A Walk Among the Tombstones,2014,"['Action', 'Crime', 'Drama']",114.0,6.5,105116,Uni.,26300000.0,26900000.0
Jurassic World,2015,"['Action', 'Adventure', 'Sci-Fi']",124.0,7.0,539338,Uni.,652300000.0,1019.4
Spy,2011,"['Action', 'Crime', 'Drama']",110.0,6.6,78,Fox,110800000.0,124800000.0
The Rum Diary,2011,"['Comedy', 'Drama']",119.0,6.2,94787,FD,13100000.0,10800000.0
American Pastoral,2016,"['Crime', 'Drama']",108.0,6.1,12898,LGF,544000.0,0.0
The Three Stooges,2012,"['Comedy', 'Family']",92.0,5.1,28570,Fox,44300000.0,10500000.0
Tangled,2010,"['Adventure', 'Animation', 'Comedy']",100.0,7.8,366366,BV,200800000.0,391000000.0
John Carter,2012,"['Action', 'Adventure', 'Sci-Fi']",132.0,6.6,241792,BV,73100000.0,211100000.0
In Secret,2013,"['Crime', 'Drama', 'Thriller']",107.0,6.2,7045,RAtt.,444000.0,0.0
Cowboys & Aliens,2011,"['Action', 'Sci-Fi', 'Thriller']",119.0,6.0,195889,Uni.,100200000.0,74600000.0
Disconnect,2010,"['Drama', 'Mystery', 'Sci-Fi']",112.0,4.5,190,LD,1400000.0,0.0
The Stanford Prison Experiment,2015,"['Biography', 'Drama', 'History']",122.0,6.9,32591,IFC,661000.0,0.0
Dinner for Schmucks,2010,['Comedy'],114.0,5.9,91546,P/DW,73000000.0,13800000.0
The A-Team,2010,"['Action', 'Adventure', 'Thriller']",117.0,6.8,235256,Fox,77200000.0,100000000.0
The Possession,2012,"['Horror', 'Mystery', 'Thriller']",92.0,5.9,53649,LGF,49100000.0,36300000.0
Real Steel,2011,"['Action', 'Drama', 'Family']",127.0,7.1,283534,BV,85500000.0,213800000.0
The Giver,2014,"['Drama', 'Romance', 'Sci-Fi']",97.0,6.5,104999,Wein.,45100000.0,21900000.0
Toy Story 3,2010,"['Adventure', 'Animation', 'Comedy']",103.0,8.3,682218,BV,415000000.0,652000000.0
Lincoln,2012,"['Biography', 'Drama', 'History']",150.0,7.4,228701,BV,182200000.0,93100000.0
